time_s,command_vx,command_vy,command_wz,actual_vx,actual_vy,actual_wz,base_z,reward,terminated,episode
7.42,0.0,0.0,0.5,0.07023494739884927,0.008013585619855325,0.9352033018055307,0.15951469646602032,0.03394892696320886,0,1
7.4399999999999995,0.0,0.0,0.5,-0.030768526983812425,0.07638277397154364,0.376393942326201,0.1591217463132764,0.039749159668447394,0,1
7.46,0.0,0.0,0.5,0.007123819205688347,0.0968197683064043,-0.48019595928977066,0.15674579823322932,0.026079835611750077,0,1
7.48,0.0,0.0,0.5,-0.08078482836478336,0.013109102513099057,0.7396995523285206,0.15817574279722454,0.03867405720666586,0,1
7.5,-0.3,0.0,0.0,0.014135865020219768,0.01198337715581086,0.43014362302607895,0.16168241232136557,0.023739871304377255,0,1
7.52,-0.3,0.0,0.0,-0.05580752622202806,-0.00644868595316269,0.26417419687933547,0.1640164058512361,0.03374677343807504,0,1
7.54,-0.3,0.0,0.0,0.02388486758503675,0.018849439099677186,0.7318949052784245,0.1641464282734923,0.017255414981909575,0,1
7.56,-0.3,0.0,0.0,-0.03315592175677945,0.086361509836835,0.20868130268651067,0.1628339623672824,0.031917212291499665,0,1
7.58,-0.3,0.0,0.0,-0.10103718065803947,0.055853130638927134,0.5332179381953324,0.16089772159816215,0.028435201700444963,0,1
7.6,-0.3,0.0,0.0,-0.10223505042565832,0.041066525465710796,-0.6718835096590773,0.16137255464415232,0.02479619570848208,0,1
7.62,-0.3,0.0,0.0,-0.19868930665525195,-0.0002937493179238534,0.11872789536032072,0.1656988516414397,0.03974110334018737,0,1
7.64,-0.3,0.0,0.0,-0.06360803082425263,0.0041421322004746765,-0.4714627053996341,0.16807863460526234,0.027978153192522892,0,1
7.66,-0.3,0.0,0.0,-0.013326625740444947,-0.02767820719437146,0.3224456107368262,0.16795623840253626,0.028502162459555697,0,1
7.68,-0.3,0.0,0.0,-0.07078957827275976,0.0036775858979583085,0.3911549835832995,0.16587394757110505,0.029876998519081148,0,1
7.7,-0.3,0.0,0.0,-0.13984073178478293,0.001285112761501145,0.8060279783196007,0.1626149923389556,0.02600175056400111,0,1
7.72,-0.3,0.0,0.0,-0.12707151889788965,0.006645272850844144,-1.2487722063395355,0.16117868582804323,0.023405981231178964,0,1
7.74,-0.3,0.0,0.0,-0.283614388247505,-0.036390985893976484,0.40652078605509573,0.1627972100381899,0.034278457671758716,0,1
7.76,-0.3,0.0,0.0,-0.1522915574501736,-0.028945099850406466,-0.16254836635223163,0.16505305941140336,0.03887797965599954,0,1
7.78,-0.3,0.0,0.0,-0.14700696329579288,-0.05489018641559477,0.6324889627865037,0.1653260505632217,0.02668657798778964,0,1
7.8,-0.3,0.0,0.0,-0.21335204214573944,-0.02101997352083042,-0.14925567025575873,0.16305035778679194,0.0413768620386937,0,1
7.82,-0.3,0.0,0.0,-0.26342596853956024,-0.008991645780159051,-0.1884016262047571,0.1594859531296106,0.041099500252083525,0,1
7.84,-0.3,0.0,0.0,-0.2782755323548756,0.06564517397058203,-0.2924738420658253,0.1608228564465676,0.036093045330174725,0,1
7.86,-0.3,0.0,0.0,-0.2453160254943567,0.03392860846851203,-0.22436680832465467,0.16329793968927553,0.039093572457315706,0,1
7.88,-0.3,0.0,0.0,-0.28463310879725584,0.03472131979597478,0.34062552719171135,0.1644941478365994,0.03832338171115109,0,1
7.9,-0.3,0.0,0.0,-0.24588072955820617,0.03253351880948005,-0.021378160941190757,0.16503410544857172,0.04365976132080118,0,1
7.92,-0.3,0.0,0.0,-0.2884666747997676,0.08333439216431222,-0.19740811025895458,0.1634562563069294,0.03839441748345268,0,1
7.94,-0.3,0.0,0.0,-0.33416277782172304,0.11642449453585184,-0.42904892042370724,0.16011774639722495,0.03274697170632198,0,1
7.96,-0.3,0.0,0.0,-0.3357217233639345,0.05726674208957697,-0.07200536956110992,0.16126269374984675,0.04069590544231469,0,1
7.98,-0.3,0.0,0.0,-0.23091712406992904,0.02569731291814538,0.1824841277035442,0.16400036997067868,0.03865903165609715,0,1
8.0,-0.3,0.0,0.0,-0.3002156055417151,0.014263701087871622,0.16304188800071853,0.16548944439991506,0.0425584382748072,0,1
8.02,-0.3,0.0,0.0,-0.19405589007783045,0.009357143827298409,0.9249197446482015,0.16467981931153072,0.026247574802081508,0,1
8.04,-0.3,0.0,0.0,-0.25885021051475204,0.060888208706722395,0.5877110714207586,0.1623620863053573,0.029789794224500184,0,1
8.06,-0.3,0.0,0.0,-0.3263314290448856,0.09050877403181477,0.4248128461503569,0.15964781906820963,0.03430192270482483,0,1
8.08,-0.3,0.0,0.0,-0.3165829074002455,-0.0023371270942289008,-0.34852072681737256,0.1587530170371885,0.03628789018508704,0,1
8.1,-0.3,0.0,0.0,-0.2667230926000357,-0.020000945852130705,-0.33406998255257164,0.15917819482200396,0.036379283203650685,0,1
8.12,-0.3,0.0,0.0,-0.2966729376467571,0.012159136023597764,0.4331686771942342,0.1623995664518774,0.03566680151186289,0,1
8.14,-0.3,0.0,0.0,-0.19398062261375856,0.013570722727029099,1.2504261998869257,0.1655640606695708,0.025444912251420995,0,1
8.16,-0.3,0.0,0.0,-0.26801058453997934,0.08104577086979035,0.4291263231914894,0.16622672878239309,0.03302456954991333,0,1
8.18,-0.3,0.0,0.0,-0.24273803956294138,0.10161564138592721,-0.1912091968778159,0.16520427379131322,0.039878762733439384,0,1
8.2,-0.3,0.0,0.0,-0.2400424026032464,0.024796258515633336,-0.0252908893640816,0.1632302310085851,0.04253344422640046,0,1
8.22,-0.3,0.0,0.0,-0.18460013401660708,0.013995000290585547,0.35746506588165844,0.16270178287612816,0.03430491697938297,0,1
8.24,-0.3,0.0,0.0,-0.24978187379581474,-0.004868652049348059,0.22130659460870988,0.16248155001680006,0.041705612343648724,0,1
8.26,-0.3,0.0,0.0,-0.14160808193576493,-0.007821401872769704,1.1602945160107623,0.16253023240401468,0.023725616069401323,0,1
8.28,-0.3,0.0,0.0,-0.18826134968691924,0.08735897275541535,0.1280858141602124,0.16113488300080148,0.0391745690408323,0,1
8.3,-0.3,0.0,0.0,-0.22466252088335295,0.0574235115871177,0.013171179966199428,0.15942310704511806,0.04282312892413763,0,1
8.32,-0.3,0.0,0.0,-0.24086357308102965,0.0069571846502275965,0.09687391166204745,0.16108508778388428,0.04141729081085659,0,1
8.34,-0.3,0.0,0.0,-0.1449568470999846,-0.0016580604962064247,0.05784173521401061,0.163509214982335,0.03905467697676825,0,1
8.36,-0.3,0.0,0.0,-0.22150369677939952,0.012471294738025392,0.2314355849630085,0.16485284563777078,0.040525397674234846,0,1
8.38,-0.3,0.0,0.0,-0.10743503215783126,-0.005303274186448244,1.0938222811043699,0.1648491311572223,0.023193106228352627,0,1
8.4,-0.3,0.0,0.0,-0.17256207997364248,0.04680644990475096,0.655168029083997,0.16295553693548898,0.027321490728753357,0,1
8.42,-0.3,0.0,0.0,-0.22595155495899327,0.06859425160056502,0.5630477688315647,0.16023808371786982,0.030823506067802167,0,1
8.44,-0.3,0.0,0.0,-0.22145126929776676,-0.006420853898384654,0.13179947732971375,0.15985141252155577,0.04063487570989543,0,1
8.46,-0.3,0.0,0.0,-0.24026899669323265,-0.01671605833461271,-0.21959833464644224,0.1626268342808197,0.03932029831853522,0,1
8.48,-0.3,0.0,0.0,-0.24694534450807945,-0.003705365898018298,0.4423192819803997,0.16464734836047124,0.03455483257734803,0,1
8.5,-0.3,0.0,0.0,-0.157615310282242,-0.012452470947924675,0.6800205424608871,0.16515875571114305,0.028059951549148747,0,1
8.52,-0.3,0.0,0.0,-0.2215118358131854,0.03210301450276246,0.45734805099029735,0.1636628580311661,0.032392855432671445,0,1
8.54,-0.3,0.0,0.0,-0.27895636032725446,0.07379952652023629,0.13235319379692867,0.1604993003114817,0.0413772378394985,0,1
8.56,-0.3,0.0,0.0,-0.28432125793449053,0.013510802153206552,0.16811870582274652,0.16052427058521965,0.040342636567514224,0,1
8.58,-0.3,0.0,0.0,-0.2514278700337006,-0.0030676788365969127,0.049055306261472975,0.16310810197835807,0.041914353407809114,0,1
8.6,-0.3,0.0,0.0,-0.2735066926512069,0.006666636120369433,0.5796176646958774,0.16459034178043397,0.032027561208715485,0,1
8.620000000000001,-0.3,0.0,0.0,-0.24793655696992112,0.0178902535498071,-0.0542342725137868,0.1651354290306774,0.04335554155416481,0,1
8.64,-0.3,0.0,0.0,-0.2803173970132597,0.041639353158839494,0.11022041003569227,0.16338989757120836,0.04080925709198826,0,1
8.66,-0.3,0.0,0.0,-0.3207369609543478,0.04469176504159048,-0.17415305614137008,0.1605889575093786,0.04097290488945949,0,1
8.68,-0.3,0.0,0.0,-0.33416384746287287,0.058592645741856915,-0.664496991109072,0.1626618479310035,0.028220851538833462,0,1
8.7,-0.3,0.0,0.0,-0.19420564873013163,0.030644267004704125,-0.059061408258033236,0.1668329992769788,0.040416847571477885,0,1
8.72,-0.3,0.0,0.0,-0.24897051249938967,0.03947804539867855,0.09801306238060885,0.16921967604853186,0.04224873165448497,0,1
8.74,-0.3,0.0,0.0,-0.2766558207545394,0.0699653707643199,0.24081088846250015,0.16895860574211716,0.03902160528966007,0,1
8.76,-0.3,0.0,0.0,-0.2963846554498584,0.07662208651312023,-0.3268948228380737,0.16644215478779056,0.034973598299975026,0,1
8.78,-0.3,0.0,0.0,-0.36131546767308714,0.06571794074929187,-0.07185681748133604,0.16378189211821104,0.04211545840943714,0,1
8.8,-0.3,0.0,0.0,-0.34077486576910343,0.0007361368948273942,-1.0520205110771326,0.16289518603454312,0.026863507168182466,0,1
8.82,-0.3,0.0,0.0,-0.3771060550006342,-0.009094823739898322,0.5346779305435195,0.1626453992058918,0.031065768785381986,0,1
